COMUNA;DC;NOM_DISTRITO
1101;1;PUERTO
1101;2;BARRIO INDUSTRIAL
1101;3;HOSPITAL
1101;4;CAUPOLICÁN
1101;5;PLAYA BRAVA
1101;6;CAVANCHA
1101;7;PARQUE BALMACEDA
1101;8;ARTURO PRAT
1101;9;PUNTA LOBOS
1101;10;GOMEZ CARREÑO
1101;11;LA TIRANA
1107;1;AUTÓDROMO
1107;2;ALTO HOSPICIO
1107;3;SANTA ROSA
1107;4;PAMPA DEL MOLLE
1401;1;POZO ALMONTE
1401;2;MAMIÑA
1401;3;LA TIRANA
1401;5;GUATACONDO
1401;6;LAGUNAS
1401;7;BUENAVENTURA
1402;1;CAMIÑA
1403;1;ISLUGA
1403;2;CARIQUIMA
1403;3;PUCHULDIZA
1403;4;CAICO
1404;1;HUARA
1404;2;TARAPACÁ
1404;3;GUAVIÑA
1404;4;PISAGUA
1404;5;TANA
1404;6;MIÑIMIÑE
1404;7;CHIAPA
1404;8;SOGA
1405;1;PICA
1405;2;SALAR DE COPOSA
1405;3;CANCOSA
1405;4;SALAR DEL HUASCO
2101;1;LA CHIMBA
2101;2;PORTALES
2101;3;BARRIO INDUSTRIAL
2101;4;ARTURO PRAT
2101;5;MIRAMAR
2101;6;COMERCIO
2101;7;RESIDENCIAL
2101;8;ESTADIO REGIONAL
2101;9;HUANCHACA
2101;10;COLOSO
2101;11;MANTOS BLANCOS
2101;12;AGUAS BLANCAS
2101;13;SALAR PUNTA NEGRA
2101;14;HUAMACHUCO
2101;15;IRARRÁZAVAL
2101;16;PEDRO AGUIRRE CERDA
2101;17;OSCAR BONILLA
2101;18;SALAR DEL CARMEN
2102;1;MEJILLONES
2102;2;CALETA LOS HORNOS
2103;1;PAMPA UNIÓN
2103;2;BOQUETE
2103;3;BAQUEDANO
2103;4;SALINAS
2104;1;EL PUERTO
2104;2;FERROCARRIL
2104;3;LA CALETA
2104;4;PAPOSO
2104;5;SANTA LUISA
2104;7;CATALINA
2104;8;GUANACO
2104;9;QUEBRADA DEL JUNCAL
2201;1;CALAMA
2201;2;CHUQUICAMATA
2201;3;VOLCÁN MIÑO
2201;5;REGIMIENTO
2201;6;CEMENTERIO
2201;7;BERNARDO O'HIGGINS
2201;8;JAVIERA CARRERA
2201;9;CHACABUCO
2201;10;MANUEL RODRÍGUEZ
2201;11;MAIPÚ
2201;12;INDEPENDENCIA
2201;13;CHIUCHIU
2201;14;AEROPUERTO EL LOA
2201;15;CASPANA
2202;1;OLLAGÜE
2202;2;ASCOTÁN
2203;1;SAN PEDRO DE ATACAMA
2203;2;TOCONAO
2203;3;SOCAIRE
2301;1;COMERCIO
2301;2;HOSPITAL
2301;3;GUACHÁN
2301;4;BARRILES
2301;5;GATICO
2301;6;ESTACIÓN
2302;1;QUILLAGUA
2302;3;TOCO
2302;4;MARÍA ELENA
2302;5;FRANCISCO VERGARA
2302;6;PEDRO DE VALDIVIA
3101;1;SALAS
3101;2;INFANTE
3101;3;LETELIER
3101;4;PLAZA
3101;5;MÁQUINA DEL PUENTE
3101;6;CERRO
3101;7;REGIMIENTO
3101;8;LOS AROMOS
3101;9;CEMENTERIO
3101;10;CANDELERO
3101;11;UNIVERSIDAD
3101;12;TOLEDO
3101;13;CASTILLA
3101;14;CERRO BLANCO
3101;15;PUNTA DE DÍAZ
3101;16;VIÑITA
3101;17;MONTE AMARGO
3101;18;CARRERA PINTO
3101;19;PUQUIOS
3101;20;SAN MIGUEL
3101;21;PUNTA NEGRA
3101;22;TOTORAL
3101;23;ELEUTERIO RAMÍREZ
3101;24;DIEGO DE ALMAGRO
3102;1;CALDERA
3102;2;TOTORALILLO
3102;3;PUERTO VIEJO
3102;4;TOTORAL
3103;1;TIERRA AMARILLA
3103;2;LOMAS BAYAS
3103;3;LA JUNTA
3103;4;SAN ANTONIO
3103;5;LOS LOROS
3103;6;BORDOS
3103;7;PABELLÓN
3201;1;CHAÑARAL
3201;2;SALADO
3201;3;FLAMENCO
3202;1;DIEGO DE ALMAGRO
3202;2;SALVADOR
3202;3;POTRERILLOS
3202;4;INCA DE ORO
3301;1;SARGENTO ALDEA
3301;2;O'HIGGINS
3301;3;LIBERTAD
3301;4;HERMANOS CARRERA
3301;5;LOS CANALES
3301;6;EL ZAPALLO
3301;7;VIZCACHITAS
3301;8;DOMEYKO
3301;9;LAS VENTANAS
3301;10;ALGARROBAL
3301;11;LAS CUÑAS
3301;12;IMPERIAL
3301;13;INCAGUASI
3301;15;CAMARONES
3302;1;ALTO DEL CARMEN
3302;2;LA MARQUESA
3302;3;EL TRÁNSITO
3302;4;CONAY
3302;5;LA PAMPA
3302;6;LA HIGUERITA
3302;7;SAN FÉLIX
3302;8;LA MAJADA
3302;9;RETAMO
3302;10;EL CORRAL
3302;11;ALGODÓN
3302;12;SIERRA CATALINA
3303;1;CAPOTE
3303;2;FREIRINA
3303;3;QUEBRADITA
3303;4;CARRIZALILLO
3304;1;HUASCO
3304;2;CARRIZAL
4101;1;INTENDENCIA
4101;2;MERCADO
4101;3;FRANCISCO DE AGUIRRE
4101;4;LAS VEGAS
4101;5;LA PAMPA
4101;6;LA FLORIDA
4101;7;ALGARROBITO
4101;8;PORVENIR
4101;9;LAS ROJAS
4101;10;ROMERO
4101;11;CONDORIACO
4101;12;ALMIRANTE LATORRE
4101;13;ISLÓN
4101;14;LA COMPAÑÍA
4101;15;UNIVERSIDAD
4101;16;LA COMPAÑÍA ALTA
4101;17;EL OLIVAR
4102;1;ADUANA
4102;2;LORD COCHRANE
4102;3;BUEN PASTOR
4102;4;BAQUEDANO
4102;5;CANTERA
4102;6;PAN DE AZÚCAR
4102;7;CERRILLOS
4102;8;LA HERRADURA
4102;9;ESTACIÓN
4102;10;EL PEÑÓN
4102;11;TAMBILLOS
4102;12;LAS CARDAS
4102;13;CAMARONES
4102;14;EL TANGUE
4102;15;TONGOY
4102;16;GUANAQUEROS
4102;17;TIERRAS BLANCAS
4102;18;LAS ROSAS
4103;1;ANDACOLLO
4103;2;CORRAL QUEMADO
4103;3;MAITENCILLO
4103;4;LA CALDERA
4104;1;LA HIGUERA
4104;2;QUEBRADA HONDA
4104;3;EL TOFO
4104;4;CRUZ GRANDE
4104;5;LOS CHOROS
4104;6;EL TRAPICHE
4104;7;TRES CRUCES
4104;8;PUNTA COLORADA
4104;9;EL TORNO
4105;1;PAIGUANO
4105;2;LA QUEBRADA
4105;3;LA BAJADA
4105;4;QUEBRADA DE PINTO
4105;5;MONTE GRANDE
4105;6;ALCOGUÁS
4105;7;PISCO ELQUI
4105;8;JARILLAS
4106;1;VICUÑA NORTE
4106;2;VICUÑA SUR
4106;3;SAN ISIDRO
4106;4;DIAGUITAS
4106;5;PERALILLO
4106;6;EL TAMBO
4106;7;ALGODONES
4106;8;EL ARRAYÁN
4106;9;EL MOLLE
4106;10;MARQUESA
4106;11;GUALLIGUAICA
4106;12;RIVADAVIA
4106;13;VARILLAR
4106;15;GUANTA
4201;1;CIUDAD ORIENTE
4201;2;CIUDAD PONIENTE
4201;3;QUILLAICILLO
4201;4;TUNGA NORTE
4201;5;PLAN DE HORNOS
4201;6;HACIENDA ILLAPEL
4201;7;LIMAHUIDA
4201;8;CHOAPA
4201;9;CUZCUZ
4201;10;TUNGA SUR
4201;11;CHILLÁN
4201;12;SANTA VIRGINIA
4202;1;MINCHA
4202;2;QUELÓN
4202;3;HUENTELAUQUÉN SUR
4202;4;HUENTELAUQUÉN NORTE
4202;5;PUERTO OSCURO
4202;6;LAS PALMAS
4202;7;ESPÍRITU SANTO
4202;8;CHILCAL
4202;9;COLIGÜE
4202;10;LOS POZOS
4202;11;CANELA ALTA
4202;12;CANELA BAJA
4202;13;AGUA FRÍA
4202;14;ATELCURA
4203;1;LOS VILOS
4203;2;LAS VACAS
4203;3;CAIMANES
4203;4;TILAMA
4203;5;LOS CÓNDORES
4203;6;GUANGALÍ
4203;7;QUILIMARÍ
4203;8;CHIGUALOCO
4204;1;SALAMANCA
4204;2;CHALINGA
4204;3;TEBAL
4204;4;ARBOLEDA GRANDE
4204;5;CUNLAGUA
4204;6;SAN AGUSTÍN
4204;7;SANTA ROSA
4204;8;LLIMPO
4204;9;CHILLEPÍN
4204;10;CUNCUMÉN
4204;11;TRANQUILLA
4204;12;COIRÓN
4204;13;QUELÉN
4204;14;TAMBO
4204;15;TAHUINCO
4204;16;CHICHIÑI
4204;17;HIGUERILLA
4301;1;FERROCARRIL
4301;2;PLAZA DE ARMAS
4301;3;MIRADOR
4301;4;LA CHIMBA
4301;5;LIMARÍ
4301;6;TALHUÉN
4301;7;EL INGENIO
4301;8;LAGUNILLAS
4301;9;ANGOSTURA
4301;10;HIGUERITAS
4301;11;PANULCILLO
4301;12;PEJERREYES
4301;13;ALGARROBO
4301;14;GUAMALATA
4301;15;SAMO BAJO
4301;16;SOTAQUÍ
4301;17;LA PALOMA
4301;18;GUALLILLINGA
4301;19;LA TORRE
4301;20;LAS SOSSAS
4301;21;CERRILLOS
4301;22;ORURO
4301;23;FRAY JORGE
4301;24;PACHINGO
4301;25;EL COBRE
4301;26;BARRAZA
4301;27;CAMARICO
4301;28;CHALINGA
4301;29;LOS CANELOS
4301;30;HORNILLOS
4301;31;PEÑA BLANCA
4301;32;LOS LOROS
4301;33;SOCOS
4302;1;CIUDAD ORIENTE
4302;2;CIUDAD PONIENTE
4302;3;SORUCO
4302;4;QUILITAPIA
4302;5;EL SAUCE
4302;6;LA LIGUA
4302;7;COGOTÍ
4302;8;CHÉPICA
4302;9;VALLE HERMOSO
4302;10;PAMA
4302;11;HUILMO
4302;12;SAN MARCOS
4302;13;EL MAITÉN
4302;14;LITIPAMPA
4302;15;RAMADILLA
4303;1;MONTE PATRIA
4303;2;JUNTAS
4303;3;CAMPANARIO
4303;4;CERRILLOS
4303;5;RAPEL
4303;6;LAS MOLLACAS
4303;7;EL MAQUI
4303;8;PEDREGAL
4303;9;LAS RAMADAS
4303;10;TULAHUÉN
4303;11;CARÉN
4303;12;COLLIGUAY
4303;13;SEMITA
4303;14;CHILECITO
4303;15;MIALQUI
4303;16;MAL PASO
4303;17;PALQUI
4303;18;GUATULAME
4303;19;GUANILLAS
4303;20;SAN LORENZO
4303;21;CHAÑARAL ALTO
4303;22;LOS MORALES
4304;1;PUNITAQUI
4304;2;EL ALTAR
4304;3;LLANO DE LA LAJA
4304;4;CAMARICO VIEJO
4304;5;SAN PEDRO DE QUILES
4304;6;PARRAL
4305;1;LAS BREAS
4305;2;CACHACOS
4305;3;SAMO ALTO
4305;4;PICHASCA
4305;5;FUNDINA
4305;6;SERÓN
4305;7;HURTADO
4305;8;CHAÑAR
4305;9;TABAQUEROS
4305;10;EL ROMERAL
5101;1;POBLACIONES PLAYA ANCHA
5101;2;PLAYA ANCHA
5101;3;CERRO SANTO DOMINGO
5101;4;PUERTO
5101;5;CERRO CORDILLERA
5101;6;CERRO ALEGRE
5101;7;COMERCIO
5101;8;CERRO CÁRCEL
5101;9;CERRO BELLAVISTA
5101;10;CERRO LA FLORIDA
5101;11;PLAZA VICTORIA
5101;12;ALMENDRAL
5101;13;CERRO LA CRUZ
5101;14;CERRO LAS CAÑAS
5101;15;CERRO LA MERCED
5101;16;CERRO LAS RAMADITAS
5101;17;WADDINGTON
5101;18;BARÓN
5101;19;LOS PLACERES
5101;20;LAS ZORRAS
5101;21;PLACILLA
5101;22;PEÑUELAS
5101;23;QUEBRADA VERDE
5101;24;SAN FÉLIX Y SAN AMBROSIO
5101;25;QUEBRADA PHILLIPPI
5101;26;SANTOS OSSA
5102;1;CASABLANCA
5102;2;TAPIHUE
5102;3;LA VINILLA
5102;4;LO ORREGO
5102;5;LAGUNILLAS
5102;6;VALLE HERMOSO
5102;7;SAN JERÓNIMO
5102;8;LAS DICHAS
5102;9;TUNQUÉN
5102;10;QUINTAY
5102;11;PITAMA
5102;12;LO OROZCO
5102;13;LO OVALLE
5103;1;CONCÓN
5103;2;REFINERÍA
5104;1;JUAN FERNÁNDEZ
5105;1;PLACILLA DE PUCHUNCAVÍ
5105;2;LA LAGUNA
5105;3;LA CANELA
5105;4;SAN ANTONIO
5105;5;PUCALÁN
5105;6;LAS MELOSILLAS
5105;7;LOS MAITENES
5105;8;CAMPICHE
5107;1;QUINTERO
5107;2;VALLE ALEGRE
5107;3;DUMUÑO
5109;1;CASTILLO
5109;2;CASINO
5109;3;MAGALHAES
5109;4;REÑACA
5109;5;ACHUPALLAS
5109;6;OLIVAR
5109;7;CHORRILLOS
5109;8;VERGARA
5109;9;REFINERÍA
5109;10;ÁLVAREZ
5109;11;RECREO
5109;12;GÓMEZ CARREÑO
5109;13;SANTA INÉS
5109;14;GLORIAS NAVALES
5109;15;MIRAFLORES
5109;16;PABLO NERUDA
5109;17;REÑACA ALTO
5109;18;QUINTA VERGARA
5109;19;FORESTAL
5109;20;VILLA MONTES
5109;21;RECREO ALTO
5201;1;HANGA ROA
5201;2;VAITEA
5301;1;LA FERIA
5301;2;LABERINTO
5301;3;ESTACIÓN
5301;4;EL SAUCE
5301;5;RÍO BLANCO
5301;6;CHACABUCO
5302;1;TABOLANGO
5302;2;EL PATAGUAL
5302;3;SAN VICENTE
5302;4;POCURO
5302;5;EL GUINDAL
5303;1;CARACOLES
5303;2;LOS PLACERES
5303;3;VALLE ALEGRE
5303;4;CASUTO
5304;1;LA ERMITA
5304;2;SAN REGIS
5304;3;LO CALVO
5304;4;CAMPOS DE AHUMADA
5304;5;SAN FRANCISCO
5304;6;RÍO COLORADO
5304;7;CARIÑO BOTADO
5304;8;LA FLORIDA
5304;9;LAS JUNTAS
5401;1;LA LIGUA NORTE
5401;2;LA LIGUA SUR
5401;3;QUEBRADILLA
5401;4;LA HIGUERA
5401;5;PLACILLA
5401;6;PUEBLO DE ROCO
5401;7;CASAS VIEJAS DE LONGOTOMA
5401;8;HUAQUÉN
5401;9;LOS MOLLES
5401;10;LOS HORNOS
5401;11;TRAPICHE
5401;12;LA ENGORDA
5401;13;PUEBLO DE VARAS
5402;1;ARTIFICIO
5402;2;EL INGENIO
5402;3;PEÑABLANCA
5402;4;EL QUEMADO
5402;5;CABILDO
5402;6;EL CARTUCHO
5402;7;SAN LORENZO
5402;8;LA MORA
5402;9;HOSPITAL
5402;10;EL CRUCERO
5402;11;CASAS DE ALICAHUE
5402;12;LOS PERALES
5402;13;PITIPEUMO
5402;14;GUAYACÁN
5403;1;PAPUDO
5403;2;PULLALLI
5404;1;EL PEDERNAL
5404;2;CHALACO
5404;3;EL SOBRANTE
5404;4;CHINCOLCO
5404;5;PETORCA ORIENTE
5404;6;PETORCA PONIENTE
5404;7;HIERRO VIEJO
5404;8;PEDEGUA
5404;9;LAS PALMAS
5405;1;ZAPALLAR
5405;2;CACHAGUA
5405;3;SAN ALFONSO
5405;4;CATAPILCO
5405;5;BLANQUILLO
5501;1;EL TEATRO
5501;2;AVENIDA VALPARAÍSO
5501;3;MAYACA
5501;4;CANCHA SANTA ANA
5501;5;LA TETERA
5501;6;LA PALMA
5501;7;SAN PEDRO
5501;8;LA CAPILLA
5501;9;MAUCO
5501;10;RAUTÉN
5501;11;BOCO
5501;12;O'HIGGINS
5501;13;LO VARELA
5502;1;EL PEÑÓN
5502;2;LAS CABRITAS
5502;3;ARTIFICIO
5502;4;PACHACAMA
5502;5;LAUTARO
5503;1;CONCHALÍ
5503;2;SAN ANTONIO
5503;3;COQUIMBITO
5503;4;ROMERAL
5503;5;OCOA
5504;1;LA CRUZ
5504;2;LO ROJAS
5504;3;LA PALMILLA
5504;4;POCOCHAY
5504;5;CHARRABATA
5506;1;NOGALES
5506;2;PUCALÁN
5506;3;EL MELÓN
5506;4;EL COBRE
5506;5;LA PEÑA
5601;1;SAN ANTONIO
5601;2;LEYDA
5601;3;CUNCUMÉN
5601;4;LLOLLEO
5601;5;BARRANCAS
5601;6;LO GALLARDO
5602;1;ALGARROBO
5602;2;SAN JOSÉ
5602;3;LA PEÑA
5603;1;CARTAGENA
5603;2;LAS PALMAS
5603;3;EL ROSARIO
5604;1;EL QUISCO
5605;1;EL TABO
5605;2;LAS CRUCES
5606;1;SANTO DOMINGO
5606;2;EL CONVENTO
5606;3;YALI
5701;1;CARMEN
5701;2;LA ESCUADRA
5701;3;LOS GRANEROS
5701;4;QUILPUÉ
5701;5;ALMENDRAL
5701;6;SAN RAFAEL
5701;7;CURIMÓN
5701;8;TIERRAS BLANCAS
5701;9;BELLAVISTA
5701;10;EL ASIENTO
5702;1;CATEMU
5702;2;LAS VACAS
5702;3;LOS CERRILLOS
5702;4;ÑILHUE
5702;5;SAN JOSÉ
5702;6;CHAGRES
5703;1;LLAILLAY
5703;2;LAS VEGAS
5703;3;LAS MAZAS
5703;4;LOS LOROS
5704;1;LO CAMPO
5704;2;SAN ROQUE
5704;3;PANQUEHUE
5704;4;PALOMAR
5705;1;PUTAENDO
5705;2;RINCONADA DE SILVA
5705;3;LAS COIMAS
5705;4;QUEBRADA DE HERRERA
5705;5;EL MANZANO
5705;6;PIGUCHÉN
5705;7;LO VICUÑA
5706;1;SANTA MARÍA
5706;2;JAHUEL
5706;3;SAN JOSÉ
5706;4;EL AJÍ
5706;5;SAN FERNANDO
5706;6;EL PINO
5801;1;EL RETIRO
5801;2;BELLOTO SUR
5801;3;LOS PERALES
5801;4;COLLIGUAY
5801;5;LOS YUYOS
5801;6;LOS QUILLAYES
5801;7;LAS PALMAS
5801;8;VALENCIA
5801;9;EL SAUCE
5801;10;BELLOTO NORTE
5801;11;MENA
5801;12;ALTO QUILPUÉ
5802;1;HIPÓDROMO
5802;2;LA TRINIDAD
5802;3;LO CHAPARRO
5802;4;LOS MAITENES
5802;5;URMENETA
5802;6;FERROCARRIL
5802;7;LIMACHITO
5802;8;TABOLANGO
5803;1;OLMUÉ
5803;2;GRANIZO
5803;3;QUEBRADA ALVARADO
5803;4;PELUMPÉN
5803;5;LA DORMIDA
5804;1;MUNICIPALIDAD
5804;2;VILLA ALEMANA NORTE
5804;3;MANUEL MONTT
5804;4;SANATORIO
5804;5;JOSÉ MIGUEL CARRERA
5804;6;QUEBRADA ESCOBARES
5804;7;MOSCOSO
5804;8;SAN ENRIQUE
6101;1;INTENDENCIA
6101;2;ESTACIÓN
6101;3;CEMENTERIO
6101;4;REGIMIENTO
6101;5;ESTADIO
6101;6;CENTENARIIO
6101;7;LA CAPILLA
6101;8;SAN PEDRO
6101;9;LA GAMBOINA
6101;10;LOS QUILOS
6101;11;SANTA LEONOR
6101;12;EL CARMEN
6101;13;PRIMAVERA
6101;14;PUNTA DE CORTÉS
6101;15;LA FERIA
6101;16;MEDIALUNA
6101;17;RUTA CINCO SUR
6101;18;LA MORANINA
6102;1;CODEGUA
6102;2;TUNCA
6102;3;LA LEONERA
6103;1;COPEQUÉN
6103;2;COINCO
6103;3;CHILLEHUE
6103;4;RULO
6104;1;COLTAUCO
6104;2;IDAHUE
6104;3;IDAHUILLO
6104;4;PARRAL
6104;5;LO DE CUEVAS
6104;6;MONTE GRANDE
6104;7;ALMENDRO
6104;8;PARRAL DE PURÉN
6105;1;DOÑIHUE
6105;2;EL MOLINO
6105;3;ESPERANZA
6105;4;LO MIRANDA
6106;1;GRANEROS
6106;2;LA COMPAÑÍA
6106;3;LAS HIGUERAS
6106;4;TUNICHE
6107;1;LAS CABRAS
6107;2;LLALLAUQUÉN
6107;3;EL MANZANO
6107;4;COCALÁN
6107;5;SANTA INÉS
6107;6;QUILAMUTA
6107;7;SALTO DEL AGUA
6107;8;SAN JULIA
6107;9;EL DURAZNO
6107;10;PALMERÍA
6108;1;SAN JOAQUÍN
6108;2;MACHALÍ
6108;3;LA POBLACIÓN
6108;4;CALETONES
6108;6;EL PANGAL
6108;7;COYA
6108;8;LOS PERALES
6108;9;SAUZAL
6109;1;SAL SI PUEDES
6109;2;PELEQUÉN
6109;3;MALLOA
6109;4;PANQUEHUE
6109;5;CORCOLÉN
6109;6;CANTARRANA
6109;7;RIGOLEMO
6109;8;LIMAHUE
6110;1;SAN FRANCISCO
6110;2;ANGOSTURA
6110;3;PEUCO
6110;4;LA PUNTA
6111;1;GULTRO
6111;2;OLIVAR ALTO
6111;3;OLIVAR BAJO
6112;1;PEUMO
6112;2;GULUTRÉN
6112;3;CODAO
6112;4;LA ROSA
6113;1;PICHIDEGUA
6113;2;ALMAHUE VIEJO
6113;3;ALMAHUE
6113;4;TOCO
6113;5;LAS PATAGUAS
6113;6;SAN JOSÉ DE MARCHIHUE
6113;7;EL CALEUCHE
6114;1;QUINTA DE TILCOCO
6114;2;GUACARHUE
6114;3;ESTACADA DE ARRIBA
6114;4;CARRIZAL
6115;1;CÓBIL
6115;2;CHAPETÓN
6115;3;MALAMBO
6115;4;CÉSARES
6115;5;POPETA
6115;6;CHANQUEAHUE
6115;7;LO DE LOBO
6115;8;ROSARIO
6115;9;APALTA
6115;10;ROSARIO PONIENTE
6115;11;ESMERALDA
6116;1;REQUÍNOA
6116;2;EL RINCÓN
6116;3;LOS LIRIOS
6116;4;CAUQUENES
6116;5;PICHIGUAO
6116;6;CHUMACO
6117;1;SAN VICENTE
6117;2;REQUEGUA
6117;3;RASTROJOS
6117;4;RINCONADA
6117;5;TAGUATAGUA
6117;6;LA LAGUNA
6117;7;LAS CRUCES
6117;8;BARRERA
6117;9;PENCAHUE
6117;10;TUNCA
6117;11;TOQUIGUA
6117;12;ZÚÑIGA
6201;1;PICHILEMU
6201;2;SAN ANTONIO DE PETREL
6201;3;CARDONAL
6201;4;EL MAQUI
6201;5;EL GUINDO
6201;6;RODEILLO
6202;1;LA ESTRELLA
6202;2;SAN RAFAEL
6202;3;SAN MIGUEL DE LOS LLANOS
6202;4;LA AGUADA
6203;1;LITUECHE
6203;2;SAN VICENTE
6203;3;PULÍN
6203;4;CARTAGENA
6203;5;HIDANGO
6203;6;LAGUNA TOPOCALMA
6203;7;CENTRAL RAPEL
6204;1;MARCHIHUE
6204;2;ALCONES
6204;3;MARCHANT
6205;1;RAPEL
6205;2;LICANCHEO
6205;3;NAVIDAD
6205;4;PUPUYA
6205;5;TUMÁN
6206;1;PAREDONES
6206;2;BUCALEMU
6206;3;CABECERAS
6206;4;QUILLAY
6206;5;SAN PEDRO DE ALCÁNTARA
6301;1;MUNICIPALIDAD
6301;2;ANGOSTURA
6301;3;ROMA
6301;4;EL NARANJAL
6301;5;PEDEHUE
6301;6;TALCAREHUE
6301;7;ANTIVERO
6301;8;AGUA BUENA
6301;9;ISLA DE BRIONES
6301;10;SIERRAS DE BELLAVISTA
6301;11;LOS RULOS
6301;12;ESTACIÓN
6301;13;MATADERO
6302;1;CHÉPICA
6302;2;PAREDONES DE AUQUINCO
6302;3;ALMENDRAL
6302;4;LAS PALMAS
6302;5;RINCONADAS
6303;1;CHIMBARONGO
6303;2;CUESTA DE GONZALÉZ
6303;3;CARRIZAL
6303;4;PIDIHUINCO
6303;5;PEOR ES NADA
6303;6;LA MERCED
6303;7;CONVENTO VIEJO
6303;8;TINGUIRIRICA
6303;9;TRES PUENTES
6303;10;LAS MARIPOSAS
6303;11;EL ROMERAL
6303;12;LA CHIPANA
6304;1;LOLOL
6304;2;NERQUIHUE
6304;3;LOS TRICAHUES
6304;4;RÁNGUIL
6305;1;NANCAGUA
6305;2;YÁQUIL
6305;3;CHACARILLAS
6305;4;PUQUILLAY
6305;5;CUNACO
6305;6;SAN JOSÉ DE TORO
6306;1;PALMILLA
6306;2;COLCHAGUA
6306;3;HUIQUE
6306;4;RINCONADA DE PALMILLA
6306;5;SANTA IRENE
6307;1;PERALILLO
6307;2;POBLACIÓN
6307;3;CALLEUQUE
6307;4;MOLINERO
6308;1;PLACILLA
6308;2;CALABOZO
6308;3;MANANTIALES
6308;4;LA DEHESA
6309;1;PUMANQUE
6309;2;RANQUILHUE
6309;3;NILAHUE CORNEJO
6309;4;NILAHUE
6309;5;RETO
6310;1;SANTA CRUZ
6310;2;CAPELLANÍA
6310;3;PATAGÜILLA
6310;4;PANAMÁ
6310;5;YÁQUIL
6310;6;LA ISLA
6310;7;BARREALES
6310;8;PANIAHUE
6310;9;APALTA
6310;10;EL GUINDO
7101;1;PLAZA DE ARMAS
7101;2;ESTACIÓN
7101;3;CANCHA RAYADA
7101;4;HOSPITAL
7101;5;ABATE MOLINA
7101;6;MIRADOR
7101;7;COOPERATIVA
7101;8;ESTADIO FISCAL
7101;9;HUILLIBORGOA
7101;10;PANGUILEMO
7101;11;HUILQUILEMU
7101;12;SAN MIGUEL
7101;13;LA FLORIDA
7101;14;LIRCAY
7101;15;PALMIRA
7101;16;ORIENTE
7102;1;PLAZA DE ARMAS
7102;2;MAGUILLÍN
7102;3;ESTACIÓN
7102;4;PUTÚ
7102;5;PICHAMÁN
7102;6;EL MELLICO
7102;7;LOS PELLINES
7103;1;CUREPTO
7103;2;CALPÚN
7103;3;CONSTANTUÉ
7103;4;HUENCHULLAMÍ
7103;5;COIPUÉ
7103;6;GUALLECO
7103;7;TABUNCO
7103;8;MANZANO
7103;9;RAPILERMO
7103;10;GUAQUÉN
7103;11;HORNILLOS
7104;1;EMPEDRADO
7104;2;PROVOSTE
7104;3;LOS MANZANOS
7104;4;PUICO
7104;5;RELOCA
7105;1;MAULE
7105;2;MINAS
7105;3;QUERQUEL
7105;4;COLÍN
7105;5;UNIHUE
7105;6;CHACARILLAS
7105;7;DUAO
7105;8;QUIÑEPEUMO
7106;1;PELARCO
7106;2;SANTA RITA
7106;3;HUENCUECHO
7107;1;PENCAHUE
7107;2;CORINTO
7107;3;ESTERO
7107;4;TANGUAO
7107;5;BATUCO
7107;6;LITÚ
7107;7;LA AGUADA
7108;1;CUMPEO
7108;2;MONTE DE GUAJARDO
7108;3;CAMARICO
7108;4;FRUTILLAR
7108;5;PEÑAFLOR
7108;6;MAITENES
7109;1;SAN CLEMENTE
7109;2;RAMADILLAS
7109;3;SANTA ELENA
7109;4;PEUMO NEGRO
7109;5;BAJOS DE LIRCAY
7109;6;PICAZO
7109;7;RINCÓN
7109;8;VILCHES
7109;9;CURILLINQUE
7109;10;CERRO COLORADO
7109;11;MAITENES
7109;12;CHEQUÉN
7109;13;MARIPOSAS
7109;14;LOS MONTES
7110;1;SAN RAFAEL
7110;2;PANGUE
7201;1;PLAZA DE ARMAS
7201;2;REGIMIENTO
